time, dqAnkle, qAnkle, dqHip, qHip, ActivationTA, ActivationGAS, ActivationIP, ActivationGM, AnkleTorque, HipTorque, FloorAngle, FloorVel, StiffnessAnkle, StiffnessHip, COM X, Head Z, Total Ankle Torque, Total Hip Torque
0, 0.0023516, -0.11, -0.0076234, 0.18, 0.28005, 0.27078, -0.15792, 0.15792, 11.4067, 9.7123, 0, 0, 17.9762, -39.2207, 0.060907, 1.6249, 29.3829, -29.5084
0.01, 0.0070516, -0.10995, -0.020025, 0.17986, 0.29435, 0.2354, -0.46978, 0.46978, 7.5291, 28.4322, 0, 0, 17.9036, -38.7176, 0.060894, 1.6249, 25.4327, -10.2855
0.02, 0.0057339, -0.10987, -0.014518, 0.17966, 0.28676, 0.22649, -0.48487, 0.48487, 7.0916, 29.3235, 0, 0, 17.9141, -38.8945, 0.060871, 1.6249, 25.0057, -9.571
0.03, 0.007312, -0.10981, -0.019647, 0.17949, 0.27747, 0.22145, -0.48533, 0.48533, 7.0734, 29.3652, 0, 0, 17.8799, -38.664, 0.06085, 1.6249, 24.9533, -9.2988
0.04, 0.013459, -0.10971, -0.036468, 0.17922, 0.2684, 0.21667, -0.48535, 0.48535, 7.0652, 29.3867, 0, 0, 17.8251, -38.3368, 0.060823, 1.6249, 24.8903, -8.9501
0.05, 0.01236, -0.10959, -0.035315, 0.17887, 0.25959, 0.21204, -0.48536, 0.48536, 7.0676, 29.3879, 0, 0, 17.8132, -38.2837, 0.06079, 1.625, 24.8808, -8.8958
0.06, 0.014931, -0.10944, -0.04191, 0.17845, 0.25104, 0.20754, -0.48536, 0.48536, 7.0634, 29.4013, 0, 0, 17.7652, -38.0432, 0.060752, 1.625, 24.8286, -8.6419
0.07, 0.0096088, -0.10932, -0.029184, 0.1781, 0.24274, 0.20318, -0.48537, 0.48537, 7.0692, 29.3947, 0, 0, 17.7713, -38.1024, 0.06072, 1.625, 24.8405, -8.7077
0.08, 0.0063816, -0.10923, -0.021197, 0.17782, 0.23468, 0.19894, -0.48538, 0.48538, 7.0762, 29.3822, 0, 0, 17.7914, -38.2557, 0.060705, 1.625, 24.8675, -8.8734
0.09, -0.00027043, -0.10919, 0.00073506, 0.17768, 0.22687, 0.19483, -0.48538, 0.48538, 7.0871, 29.35, 0, 0, 17.8425, -38.7118, 0.0607, 1.625, 24.9297, -9.3618
0.1, -0.0047921, -0.10922, 0.013928, 0.17777, 0.21928, 0.19083, -0.48539, 0.48539, 7.0918, 29.3357, 0, 0, 17.8748, -38.9359, 0.060706, 1.625, 24.9665, -9.6002
0.11, -0.0065734, -0.10926, 0.019857, 0.1779, 0.21192, 0.18696, -0.48539, 0.48539, 7.0959, 29.3221, 0, 0, 17.908, -39.1553, 0.060716, 1.625, 25.0039, -9.8332
0.12, -0.0067789, -0.10933, 0.020543, 0.17811, 0.20477, 0.1832, -0.4854, 0.4854, 7.0947, 29.3217, 0, 0, 17.9155, -39.1909, 0.06073, 1.625, 25.0102, -9.8692
0.13, -0.013884, -0.10943, 0.039359, 0.17839, 0.19783, 0.17955, -0.4854, 0.4854, 7.1039, 29.293, 0, 0, 17.9901, -39.6471, 0.060753, 1.625, 25.094, -10.354
0.14, -0.0099417, -0.10954, 0.02606, 0.17872, 0.1911, 0.17601, -0.48541, 0.48541, 7.101, 29.2998, 0, 0, 17.9972, -39.5923, 0.060786, 1.625, 25.0982, -10.2924
0.15, -0.012036, -0.10965, 0.030364, 0.17898, 0.18456, 0.17257, -0.48542, 0.48542, 7.0999, 29.3016, 0, 0, 18.012, -39.6034, 0.06082, 1.625, 25.1119, -10.3018
